handle	name	specialty	github	github_followers	github_company	huggingface	scholar_id	sem_scholar_id	sem_scholar_h_index	sem_scholar_citations	dblp_pid	affiliation	website	avatar	bio	hackernews	arxiv_author
drjimfan	Jim Fan	robotics / foundation models	DrJimFan	973	NVIDIA	jimfan					423/6880	NVIDIA	jimfan.me	https://avatars.githubusercontent.com/u/3018029?v=4	NVIDIA AI Research Scientist. Stanford Ph.D. Building multimodal generalist agents. NeurIPS Best Paper. Ex-Google, OpenAI, MILA.		Jim Fan
polynoamial	Noam Brown	RL / reasoning					RLDbLcUAAAAJ				149/1329			https://pbs.twimg.com/profile_images/1872883170292457472/8ywVGO5M.jpg			Noam Brown
goodfellow_ian	Ian Goodfellow	generative models					iYN86KEAAAAJ				255/7067			https://pbs.twimg.com/profile_images/1112921710339084288/nJ2wKwuv.jpg			Ian Goodfellow
sebastienbubeck	Sebastien Bubeck	LLM theory					V2Y1L4sAAAAJ				35/4292			https://pbs.twimg.com/profile_images/1709609135321583616/6bXuF85D.jpg			Sebastien Bubeck
markchen90	Mark Chen	multimodal					Ao4F6UYAAAAJ				220/0384			https://pbs.twimg.com/profile_images/1273327644436656129/uYf1oNS5.jpg			Mark Chen
awnihannun	Awni Hannun	ML systems / MLX	awni	2429		awni	3-mdTUAAAAAJ	144479015	27	12458	346/0937		https://awnihannun.com/	https://avatars.githubusercontent.com/u/1542805?v=4	Research at Anthropic. Prev: co-created MLX at Apple, trained neural nets at FAIR, Baidu, Stanford PhD	awnihannun	Awni Hannun
justinlin610	Junyang Lin	LLM training	justinlin610	1223		JustinLin610					215/3823		justinlin610.github.io	https://avatars.githubusercontent.com/u/27664428?v=4	💗 ☕️ 🍷 🥃		Junyang Lin
_rockt	Tim Rocktäschel	RL / agents					mWBY8aIAAAAJ	2620211	44	25616				https://pbs.twimg.com/profile_images/1918741982425292800/HqFPNL05.jpg			Tim Rocktäschel
chrszegedy	Christian Szegedy	deep learning					bnQMuzgAAAAJ							https://pbs.twimg.com/profile_images/1728625627207725056/auh7rYVv.jpg			Christian Szegedy
_arohan_	Rohan Anil	LLM training	rohan-anil	0			m2qHgbwAAAAJ	1508890387	21	16710		Google Brain		https://avatars.githubusercontent.com/u/17482230?v=4			Rohan Anil
koraykv	Koray Kavukcuoglu	deep learning					sGFyDIUAAAAJ							https://pbs.twimg.com/profile_images/1952910128388423681/lMRfGHmB.jpg			Koray Kavukcuoglu
remicadene	Remi Cadene	robotics	cadene	1325	@huggingface	cadene	2n5nHU4AAAAJ					huggingface	http://remicadene.com	https://avatars.githubusercontent.com/u/4681518?v=4			Remi Cadene
dylan522p	Dylan Patel	ML systems / hardware						2071007611	7	528				https://pbs.twimg.com/profile_images/1903585505046093824/PTqeS09L.jpg		dylan522p	Dylan Patel
random_walker	Arvind Narayanan	AI evaluation	randomwalker	36			0Bi5CMgAAAAJ						https://www.cs.princeton.edu/~arvindn/	https://avatars.githubusercontent.com/u/532629?v=4		random_walker	Arvind Narayanan
amandaaskell	Amanda Askell	alignment	aaskell	0			NYOJzM4AAAAJ						askell.io	https://avatars.githubusercontent.com/u/42877364?v=4			Amanda Askell
billpeeb	Bill Peebles	diffusion												https://pbs.twimg.com/profile_images/1973120495043354625/sTrUPHov.jpg
_sholtodouglas	Sholto Douglas	RL / scaling						1411308679	3	200				https://pbs.twimg.com/profile_images/2003274349906919424/GyoVg0kX.jpg			Sholto Douglas
tomgoldsteincs	Tom Goldstein	AI security	tomg-group-umd	22		tomg-group-umd	KmSuVtgAAAAJ	2066530886	5	300			cs.umd.edu/~tomg	https://avatars.githubusercontent.com/u/161499284?v=4			Tom Goldstein
thomasscialom	Thomas Scialom	agents / LLMs	ThomasScialom	24	Sorbonne Université - CNRS		qou4P-kAAAAJ					Sorbonne Université - CNRS		https://avatars.githubusercontent.com/u/26202792?v=4			Thomas Scialom
stephenroller	Stephen Roller	LLM pre-training	stephenroller	622		stephenroller	22TE5qkAAAAJ						http://stephenroller.com/	https://avatars.githubusercontent.com/u/31896?v=4	NLP researcher working on large language models.	stephenroller	Stephen Roller
rsalakhu	Russ Salakhutdinov	deep learning					ITZ1e7MAAAAJ	49068489	2	30				https://pbs.twimg.com/profile_images/2006067605652623360/cghMLL82.jpg			Russ Salakhutdinov
nandodf	Nando de Freitas	RL / deep learning	Nando-Freitas	22	Unisys	nandodf	nzEluBwAAAAJ	1737568	79	50256		Unisys		https://avatars.githubusercontent.com/u/22038853?v=4	"Developer.
Bachelor of Information Systems at University of São Paulo."		Nando de Freitas
sirbayes	Kevin Patrick Murphy	Bayesian ML	murphyk	1653	Google		MxxZkEcAAAAJ					Google	http://www.cs.ubc.ca/~murphyk/	https://avatars.githubusercontent.com/u/4632336?v=4	See also https://github.com/probml		Kevin Patrick Murphy
tdietterich	Thomas G. Dietterich	machine learning					09kJn28AAAAJ	2286610627	4	137				https://pbs.twimg.com/profile_images/704767204437336065/wAAXEdOd.jpg			Thomas G. Dietterich
ggerganov	Georgi Gerganov	efficiency / inference	ggerganov	19643	@huggingface	ggerganov						huggingface	https://ggerganov.com	https://avatars.githubusercontent.com/u/1991296?v=4	I like big .vimrc and I cannot lie	ggerganov
woj_zaremba	Wojciech Zaremba	RL / robotics	wojzaremba	698			XCZpOcAAAAAJ	2307452791	9	5248				https://avatars.githubusercontent.com/u/1286529?v=4			Wojciech Zaremba
goodside	Riley Goodside	prompting	goodside	50		goodside	_J6IRdsAAAAJ						goodside.net	https://avatars.githubusercontent.com/u/131470?v=4		goodside	Riley Goodside
iscienceluvr	Tanishq Mathew Abraham	medical AI	tmabraham	541		tmabraham	hIyhkfQAAAAJ	115211873	7	469				https://avatars.githubusercontent.com/u/37097934?v=4			Tanishq Mathew Abraham
francoisfleuret	François Fleuret	ML research / vision				francoisfleuret	Bj1tRlsAAAAJ							/avatars/7f1ac593608a89926f4107b4c3dd91d4.svg		francoisfleuret	François Fleuret
hendrycks	Dan Hendrycks	AI safety / evals	hendrycks	1169		hendrycks	czyretsAAAAJ						danhendrycks.com	https://avatars.githubusercontent.com/u/11670606?v=4	PhD student at UC Berkeley.		Dan Hendrycks
prafdhar	Prafulla Dhariwal	generative models					0pOgVVAAAAAJ							https://pbs.twimg.com/profile_images/1905005344784519168/DKCo2jGa.jpg			Prafulla Dhariwal
sainingxie	Saining Xie	computer vision	s9xie	1425	Courant Institute of Mathematical Sciences, New York University	sainx	Y2GtJkAAAAAJ	2324769373	8	489		Courant Institute of Mathematical Sciences, New York University	sainingxie.com	https://avatars.githubusercontent.com/u/5951054?v=4	Assistant Professor of Computer Science at NYU Courant		Saining Xie
zoubinghahrama1	Zoubin Ghahramani	Bayesian ML					0uTu7fYAAAAJ							https://pbs.twimg.com/profile_images/1294283059747893248/9K2p5oV_.jpg			Zoubin Ghahramani
boazbaraktcs	Boaz Barak	theory / alignment	boazbk	317			I0fbJ6cAAAAJ						http://boazbarak.org	https://avatars.githubusercontent.com/u/5474168?v=4			Boaz Barak
tkipf	Thomas Kipf	graph learning	tkipf	2998		tkipf	83HL5FwAAAAJ						http://tkipf.github.io	https://avatars.githubusercontent.com/u/7347296?v=4			Thomas Kipf
jsuarez	Joseph Suarez	RL				jsuarez5341								https://cdn-avatars.huggingface.co/v1/production/uploads/noauth/K860p3u1oU44kl5hCIBlO.jpeg
jasondeanlee	Jason Lee	optimization / theory	Jasonlee	2		Jasondlee	GR_DsT0AAAAJ							https://avatars.githubusercontent.com/u/43939804?v=4			Jason Lee
agarwl_	Rishabh Agarwal	RL / distillation	rishabh-agarwal	7	FHF	agarwl	aH8AJu4AAAAJ	2105630337	4	103		FHF		https://avatars.githubusercontent.com/u/21324023?v=4	"Sr. Developer
www.linkedin.com/in/rishaba"		Rishabh Agarwal
_albertgu	Albert Gu	state-space models	albertfgu	650		albertgu	DVCHv1kAAAAJ							https://avatars.githubusercontent.com/u/8164679?v=4	Assistant Professor @ CMU Machine Learning Department		Albert Gu
doomie	Dumitru Erhan	generative video					wfGiqXEAAAAJ	1761978	37	129741				https://pbs.twimg.com/profile_images/1964909077533761536/EXkwoXlQ.jpg			Dumitru Erhan
hochreitersepp	Sepp Hochreiter	deep learning					tvUH3WMAAAAJ	3308557	60	154193				https://pbs.twimg.com/profile_images/1463121437196267522/lT6EWJED.jpg			Sepp Hochreiter
